3	@ AdilNisarButt pakistan ka ghra tauq he Pakistan Israel ko tasleem nahein kerta Isko Palestine kehta he - OCCUPIED PALESTINE	negative	 O Hin Hin Hin Hin Hin Eng Eng Eng Eng Hin Hin Hin Hin Hin Hin Hin O Hin Hin
41	Madarchod mulle ye mathura me Nahi dikha tha jab mullo ne Hindu ko iss liye mara ki vo lasse ki paise mag liye the … https // t . co / oxf8tr3bly	negative	 Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Eng O Eng O Eng O Eng O Eng
48	@ narendramodi Manya Pradhan Mantri mahoday Shriman Narendra Modi ji Pradhanmantri banne par Hardik Badhai tahe Dil … https // t . co / pRnoMsKkn1	positive	 O Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin O Eng O Eng O Eng O Eng
64	@ Atheist _ Krishna Jcb full trend me chal rahi aa	positive	 O Eng O Eng Eng Eng Eng Eng Hin Hin Hin
66	@ AbhisharSharma _ @ RavishKumarBlog Loksabha me janta sirf modi ko vote de rahi thi na ki kisi MP or BJP ko without m … https // t . co / sHtBWCB7FM	positive	 O Hin O O Hin Eng Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Hin Eng Eng Eng Eng Eng O Eng O Eng O Eng O Eng
68	@ noirnaveed @ AngelAhana6 @ cricketworldcup Bhosdike tum pechvade ki tatti hi rahoge bc	negative	 O Eng O Eng O Eng Eng Hin Hin Hin Hin Hin Hin Hin
90	Love u Bhaijan ...♥♥ Father + son .. # Bharat # IAmBharat # BharatThisEid BEST Pic From Entire # Promotions ... Mashallah … https // t . co / S2xhwU6LUD	positive	 Hin Hin Eng O Eng O Eng O O Hin O Hin O Hin Hin Eng Eng Eng O Eng O Eng O Eng O Eng O Hin O Eng
99	@ manojgajjar111 Tumhara pass abh deemagh hai nahi islea Google ko apna deemagh banaya hua hai . Har koi tumhari tarh … https // t . co / BxuEug3xsN	negative	 O Eng Eng Hin Hin Hin Hin Hin Eng Eng Hin Hin Hin Hin Hin Hin O Hin Hin Hin Hin O Eng O Eng O Eng O Eng
101	@ Mahlogo _ nolo Weni ankere o gae this weekend 😂😂😂😂😂	positive	 O Hin O Eng Eng Hin Hin Hin Eng Eng O
104	@ Aurangzeb _ AIMIM @ SachinS40805591 Lage raho mullo tumhre issi Quran faad gyan ki kayal hain duniya Allah bhi khus … https // t co / GHa9dWNZ6u	negative	 O Hin O Eng O Eng Eng Hin Hin Hin Hin Hin Eng Hin Hin Hin Hin Hin Hin Hin Hin O Eng O Eng Eng O Eng
